"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like View Ratio","days_from_pub_to_trend"
1445432,80441,346,5192,2018,4,30,2018,5,8,"Film & Animation",0.0556518743185428,8
1409167,23195,951,1980,2018,3,12,2018,3,28,"Film & Animation",0.016460078897675,16
20585928,399492,4584,27100,2018,4,19,2018,5,7,"Film & Animation",0.019406071953618,18
2864243,197711,3103,69719,2018,1,21,2018,1,23,"Film & Animation",0.069027313674154,2
5092818,125567,10956,21219,2018,5,27,2018,6,5,"Film & Animation",0.0246557014210993,8
1726008,59228,3119,4119,2018,1,22,2018,1,26,"Film & Animation",0.034315020556104,4
11358208,39601,1355,2778,2018,2,5,2018,2,12,"Film & Animation",0.00348655351266679,7
635746,7711,374,393,2018,3,14,2018,3,22,"Film & Animation",0.0121290578312722,8
13345099,309078,4808,18372,2018,2,7,2018,2,9,"Film & Animation",0.0231604126728472,2
1093335,35045,1095,4600,2018,5,16,2018,5,20,"Film & Animation",0.0320533047967915,4
1921167,58740,1292,6149,2018,5,29,2018,6,14,"Film & Animation",0.0305751660318962,15
2497708,16034,709,1528,2018,1,30,2018,2,6,"Film & Animation",0.00641948538420023,6
1385419,18482,4722,7307,2018,1,23,2018,1,25,"Film & Animation",0.0133403685094545,2
721821,41464,828,8300,2018,5,30,2018,6,7,"Film & Animation",0.0574436044393278,7
3617347,75945,4023,10393,2018,2,27,2018,3,14,"Film & Animation",0.0209946681919097,17
977435,22466,901,2176,2018,2,27,2018,3,3,"Film & Animation",0.0229846485955588,6
4963545,180322,4834,33102,2018,2,8,2018,2,16,"Film & Animation",0.0363292767568341,8
53414805,914317,17716,41574,2018,5,10,2018,6,8,"Film & Animation",0.0171172954764133,28
20459891,289415,13944,52547,2018,2,28,2018,3,11,"Film & Animation",0.0141454810292,13
4667964,109941,5787,16446,2018,5,15,2018,5,21,"Film & Animation",0.0235522381920683,6
1584381,84050,1126,2634,2018,4,9,2018,4,18,"Film & Animation",0.0530491087686611,9
1848747,82125,2672,7709,2018,5,8,2018,5,15,"Film & Animation",0.0444219787780589,7
8705480,32178,12950,9415,2018,5,3,2018,5,12,"Film & Animation",0.0036962924502727,9
